"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"RSO^A","Resource Capital Corp.","25.39","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rso^a",
"RSO^B","Resource Capital Corp.","25.05","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rso^b",
"RSO^C","Resource Capital Corp.","25.97","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rso^c",
"QSR","Restaurant Brands International Inc.","63.88","$15.12B","2014","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/qsr",
"RPAI","Retail Properties of America, Inc.","13.15","$3.04B","2012","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/rpai",
"RPAI^A","Retail Properties of America, Inc.","25.2297","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rpai^a",
"REVG","REV Group, Inc.","28.69","$1.83B","2017","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/revg",
"REV","Revlon, Inc.","27.5","$1.45B","1996","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/rev",
"REX","REX American Resources Corporation","92.35","$606.44M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/rex",
"REXR","Rexford Industrial Realty, Inc.","28.59","$2.03B","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/rexr",
"REXR^A","Rexford Industrial Realty, Inc.","25.4984","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rexr^a",
"RXN","Rexnord Corporation","25.47","$2.64B","2012","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/rxn",
"RXN^A","Rexnord Corporation","57.92","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rxn^a",
"RH","RH","71.1","$1.5B","2012","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/rh",
"RICE","Rice Energy Inc.","28.85","$6.17B","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rice",
"RMP","Rice Midstream Partners LP","20.77","$2.12B","2014","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/rmp",
"RIC","Richmont Mines, Inc.","9.5","$605.95M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ric",
"RNG","Ringcentral, Inc.","40.15","$3.08B","2013","Technology","EDP Services","http://www.nasdaq.com/symbol/rng",
"RIO","Rio Tinto Plc","46.95","$84.13B","2002","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/rio",
"RBA","Ritchie Bros. Auctioneers Incorporated","31.05","$3.33B","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rba",
"RAD","Rite Aid Corporation","2.03","$2.14B","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/rad",
"RIV","RiverNorth Opportunities Fund, Inc.","20.26","$76.08M","2015","n/a","n/a","http://www.nasdaq.com/symbol/riv",
